71	11	1	2	1	1	5	4	3	4	1	3	4	4	2	2	1	1	4	3	1	1	3	1	2	3	3	4	2	2	4	3	3	3	2	2.9	2.33333333333333	3.8	1.8	1	2	2	1	2	3.5	0
72	13	2	2	2	1	3	2	3	2	1	3	2	1	1	2	2	3	3	3	3	4	3	2	2	2	4	2	3	2	3	2	3	2	2	2.1	1.77777777777778	3.4	2.6	2	2	1	2	2.3	2.9	0
73	13	2	4	1	1	3	1	4	4	2	4	4	1	3	4	4	4	2	1	4	2	3	2	4	2	3	3	4	4	3	1	4	4	2	2.7	3.33333333333333	3	3.2	3	2	2	2	2.9	2.4	0
74	11	2	4	1	1	3	2	3	3	2	1	3	2	1	3	3	3	3	2	3	3	4	3	3	3	4	3	3	3	4	2	3	2	3	3	2.22222222222222	3.2	3	2	1	1	1	2.5	2.6	0
75	14	1	2	2	1	3	1	3	4	1	3	1	1	1	2	1	2	4	2	2	2	3	1	2	3	4	2	2	1	4	2	2	1	2	2.1	1.44444444444444	3.4	1.8	1	2	1	1	1.7	3.3	0
77	17	2	3	1	1	3	2	1	2	3	2	2	2	2	3	2	3	2	2	2	3	4	1	2	2	4	3	3	2	4	2	2	2	2	1.9	2.55555555555556	3.2	1.8	3	1	1	1	2.1	3.2	0
78	12	1	4	1	1	3	4	1	1	1	5	1	1	1	1	2	1	4	3	1	1	3	1	1	1	4	1	1	1	4	1	1	1	1	1.4	1.22222222222222	3.8	1.6	1	2	1	1	1.2	3.6	0
79	13	2	3	2	1	3	1	4	4	2	2	1	1	1	2	2	1	3	3	2	3	2	1	1	2	3	3	3	2	3	1	2	2	2	3.1	1.66666666666667	3.2	2.6	2	3	2	2	2.05	2.8	0
82	11	2	5	1	4	5	5	3	2	3	3	2	2	1	1	1	3	2	2	2	2	2	4	2	2	3	3	4	2	2	2	2	2	2	3	3	2.8	3.6	3	3	2	3	2.35	2.1	0
83	14	1	4	2	5	4	3	2	2	3	3	4	3	2	2	1	1	3	2	1	3	2	1	1	2	4	3	1	1	4	1	1	2	1	1.7	1.77777777777778	3.4	2.4	2	3	1	1	1.55	3	0
84	13	1	4	2	7	3	5	2	2	1	3	1	2	1	2	2	1	3	2	2	3	1	2	4	1	2	4	4	2	2	1	2	3	3	3.5	2.33333333333333	2.2	3	2	4	3	3	2.5	2.1	0
85	12	2	6	1	1	3	2	5	5	3	3	1	2	1	2	1	1	4	4	2	4	4	3	3	1	4	1	4	4	4	1	1	3	1	4.7	4.33333333333333	3.6	2.4	1	1	1	1	2	3.1	0
86	13	2	3	1	1	2	4	5	4	4	1	1	3	1	3	3	2	3	3	3	4	4	4	3	3	3	2	2	1	4	3	3	2	3	3	2.33333333333333	2.6	2	2	1	2	1	2.5	2.8	0
87	11	1	6	1	1	1	2	5	5	1	3	1	3	1	1	2	2	3	2	1	3	2	2	2	1	4	1	4	3	4	1	1	1	2	3.3	2.33333333333333	3.6	2.6	2	3	1	1	1.8	3	0
89	14	1	2	1	1	3	2	5	5	2	3	1	1	1	3	1	2	4	2	3	3	3	2	3	2	4	2	2	2	4	2	3	3	3	2.9	1.55555555555556	3	2.6	1	2	1	1	2.15	2.7	0
90	12	2	2	1	1	3	2	1	1	2	3	4	2	1	1	1	1	4	3	1	3	3	1	1	2	4	3	1	1	4	1	2	2	2	2.8	2.55555555555556	4	1.4	1	2	1	1	1.55	3.8	0
91	13	2	4	1	1	3	1	1	1	1	1	1	2	2	3	2	3	4	2	1	3	4	1	1	1	4	2	1	1	4	3	2	2	2	1.6	1.22222222222222	3.2	2.6	1	1	1	1	1.7	2.8	0
92	13	2	3	1	13	3	2	4	4	4	4	4	4	4	4	3	4	2	4	3	2	4	3	4	4	3	2	4	1	2	4	4	3	3	1.6	1	3.6	1.4	3	1	2	3	3.05	3.6	0
